,original_text,clean_text,sampa,pos,ipa
0,Allan,Allan,aj\an,PROPN,aʝan
1,Aloès,Aloès,aloes,PROPN,aloès
2,Alpes,Alpes,alpes,PROPN,alpes
3,Alpes-Pirineos,AlpesPirineos,alpespi4ineos,PROPN,alpespiɾineos
4,Alsacia,Alsacia,alsasia,PROPN,alsasia
5,Alsthom,Alsthom,alstom,PROPN,alstom
6,Altener,Altener,altene4,PROPN,alteneɾ
7,Altiero,Altiero,altje4o,PROPN,altjeɾo
8,Alvarez,Alvarez,alba4es,PROPN,albaɾes
9,Alzheimer,Alzheimer,alseime4,PROPN,alseimeɾ
10,Amado,Amado,amado,PROPN,amado
11,Ambas,Ambas,ambas,NUM,ambas
12,Ambicioso,Ambicioso,ambisioso,ADJ,ambisioso
13,Ambiente,Ambiente,ambjente,NOUN,ambjente
14,Ambos,Ambos,ambos,NUM,ambos
15,Ambrogio,Ambrogio,amb4oxio,PROPN,ambɾoxio
16,Ambrosio,Ambrosio,amb4osjo,PROPN,ambɾosjo
17,America,America,ame4ika,PROPN,ameɾika
18,Amiens,Amiens,amjens,PROPN,amjens
19,Amnesty,Amnesty,amnesti,PROPN,amnesti
20,Amoco-Cádiz,AmocoCádiz,amokokadis,PROPN,amokokadis
21,Amorim,Amorim,amo4im,PROPN,amoɾim
22,Ampliación,Ampliación,ampljasion,NOUN,ampljasion
23,Ampliamente,Ampliamente,ampljamente,ADV,ampljamente
24,Ampliamos,Ampliamos,ampljamos,VERB,ampljamos
25,Amplios,Amplios,ampljos,ADJ,ampljos
26,Amsterdam,Amsterdam,amste4dam,PROPN,amsteɾdam
27,Analizaremos,Analizaremos,analisa4emos,VERB,analisaɾemos
28,Analizó,Analizó,analiso,VERB,analiso
29,Andalucista,Andalucista,andalusista,ADJ,andalusista
30,Andino,Andino,andino,PROPN,andino
31,Androlakis,Androlakis,and4olakis,PROPN,andɾolakis
32,Andréi,Andréi,and4ei,PROPN,andɾei
33,Anexo,Anexo,anekso,PROPN,anekso
34,Anexos,Anexos,aneksos,NOUN,aneksos
35,Angel,Angel,anxel,PROPN,anxel
36,Angelina,Angelina,anxelina,PROPN,anxelina
37,Angola,Angola,angola,PROPN,anɡola
38,Animal,Animal,animal,NOUN,animal
39,Anime,Anime,anime,PROPN,anime
40,Anita,Anita,anita,PROPN,anita
41,Aniversario,Aniversario,anibe4sa4jo,NOUN,anibeɾsaɾjo
42,Ankara,Ankara,anka4a,PROPN,ankaɾa
43,Anmistía,Anmistía,anmistja,NOUN,anmistja
44,Anneli,Anneli,anneli,PROPN,anneli
45,Annette,Annette,annette,PROPN,annette
46,Anteayer,Anteayer,anteaie4,ADV,anteaieɾ
47,Anteriores,Anteriores,ante4jo4es,NOUN,anteɾjoɾes
48,Anteriormente,Anteriormente,ante4jo4mente,ADV,anteɾjoɾmente
49,Antidopaje,Antidopaje,antidopaxe,NOUN,antidopaxe
50,Antigua,Antigua,antigwa,PROPN,antiɡwa
51,Antillas,Antillas,antij\as,NOUN,antiʝas
52,Anton,Anton,anton,PROPN,anton
53,Antonio,Antonio,antonjo,PROPN,antonjo
54,Antártida,Antártida,anta4tida,PROPN,antaɾtida
55,Análogamente,Análogamente,analogamente,ADV,analoɡamente
56,Aparecieron,Aparecieron,apa4esie4on,VERB,apaɾesieɾon
57,Aparicio,Aparicio,apa4isio,PROPN,apaɾisio
58,Apartheid,Apartheid,apa4teid,NOUN,apaɾteid
59,Apelamos,Apelamos,apelamos,VERB,apelamos
60,Apenas,Apenas,apenas,ADV,apenas
61,Aplaudo,Aplaudo,aplaudo,NOUN,aplaudo
62,AplausosEn,AplausosEn,aplausosen,PROPN,aplausosen
63,Aplicación,Aplicación,aplikasion,NOUN,aplikasion
64,Aplicado,Aplicado,aplikado,ADJ,aplikado
65,Aplicamos,Aplicamos,aplikamos,VERB,aplikamos
66,Aporta,Aporta,apo4ta,PROPN,apoɾta
67,Aportará,Aportará,apo4ta4a,VERB,apoɾtaɾa
68,Apoyaremos,Apoyaremos,apoia4emos,VERB,apoiaɾemos
69,Apoyarse,Apoyarse,apoia4se,VERB,apoiaɾse
70,Apoyemos,Apoyemos,apoiemos,VERB,apoiemos
71,Apoyo,Apoyo,apoio,NOUN,apoio
72,Apoyándose,Apoyándose,apoiandose,VERB,apoiandose
73,Apreciamos,Apreciamos,ap4esiamos,VERB,apɾesiamos
74,Apreciar,Apreciar,ap4esia4,VERB,apɾesiaɾ
75,Aprobamos,Aprobamos,ap4obamos,VERB,apɾobamos
76,Aprobó,Aprobó,ap4obo,VERB,apɾobo
77,Aprovecharé,Aprovecharé,ap4obetSa4e,VERB,apɾobet͡ʃaɾe
78,Aproveche,Aproveche,ap4obetSe,VERB,apɾobet͡ʃe
79,Apulia,Apulia,apulja,PROPN,apulja
80,Apunta,Apunta,apunta,VERB,apunta
81,Aquel,Aquel,akel,PRON,akel
82,Aquella,Aquella,akej\a,PRON,akeʝa
83,Aquisgrán,Aquisgrán,akisg4an,PROPN,akisɡɾan
84,Archipiélago,Archipiélago,a4tSipjelago,PROPN,aɾt͡ʃipjelaɡo
85,Ardenne,Ardenne,a4denne,PROPN,aɾdenne
86,Argaña,Argaña,a4gaJa,PROPN,aɾɡaɲa
87,Argumenta,Argumenta,a4gwmenta,VERB,aɾɡwmenta
88,Argumentos,Argumentos,a4gwmentos,NOUN,aɾɡwmentos
89,Armonie,Armonie,a4monje,PROPN,aɾmonje
90,Armonización,Armonización,a4monisasion,NOUN,aɾmonisasion
91,Arosa,Arosa,a4osa,PROPN,aɾosa
92,Arsenal,Arsenal,a4senal,PROPN,aɾsenal
93,Asalto,Asalto,asalto,NOUN,asalto
94,Asignen,Asignen,asignen,ADV,asiɡnen
95,Asimilar,Asimilar,asimila4,VERB,asimilaɾ
96,Asimismo,Asimismo,asimismo,ADV,asimismo
97,Askew,Askew,askew,PROPN,askew
98,Asociaciones,Asociaciones,asosiasiones,NOUN,asosiasiones
99,Asocio,Asocio,asosio,PROPN,asosio
100,Aspectos,Aspectos,aspektos,PROPN,aspektos
101,Aspira,Aspira,aspi4a,PROPN,aspiɾa
102,Aspiramos,Aspiramos,aspi4amos,VERB,aspiɾamos
